
--------------------------------------------------------------
*** Drop tables ***
Dropped 6 tables.

--------------------------------------------------------------

--------------------------------------------------------------
*** Create tables ***
Created 6 tables.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Participants ***
1000 participants were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Passengers ***
700 passengers were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Drivers ***
400 drivers were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Cars ***
601 cars were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Trips ***
1698 trips were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Bookings ***
2125 bookings were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Find participants who are both passengers and drivers ***
Participant{PIN=106828, p_name='Jane Johnson', age=35}
Participant{PIN=122454, p_name='David Williams', age=44}
Participant{PIN=123700, p_name='Olivia Williams', age=49}
Participant{PIN=130883, p_name='Emily Taylor', age=27}
Participant{PIN=150379, p_name='Sophia Wilson', age=39}
Participant{PIN=161394, p_name='Olivia Brown', age=32}
Participant{PIN=166188, p_name='Olivia Brown', age=55}
Participant{PIN=178663, p_name='David Miller', age=68}
Participant{PIN=178677, p_name='Chris Brown', age=19}
Participant{PIN=188245, p_name='Sophia Taylor', age=47}
Participant{PIN=195102, p_name='Emma Williams', age=67}
Participant{PIN=200880, p_name='Emily Miller', age=28}
Participant{PIN=203509, p_name='Sophia Miller', age=38}
Participant{PIN=222143, p_name='Olivia Taylor', age=38}
Participant{PIN=222596, p_name='Daniel Moore', age=38}
Participant{PIN=226765, p_name='Emma Johnson', age=44}
Participant{PIN=242780, p_name='Mike Wilson', age=54}
Participant{PIN=247760, p_name='Olivia Smith', age=30}
Participant{PIN=251498, p_name='Jane Taylor', age=34}
Participant{PIN=254385, p_name='John Miller', age=28}
Participant{PIN=273680, p_name='Sophia Taylor', age=64}
Participant{PIN=294348, p_name='Emily Smith', age=60}
Participant{PIN=302331, p_name='John Jones', age=57}
Participant{PIN=317532, p_name='Jane Wilson', age=29}
Participant{PIN=323323, p_name='Chris Taylor', age=24}
Participant{PIN=329823, p_name='Mike Smith', age=42}
Participant{PIN=333843, p_name='Daniel Smith', age=30}
Participant{PIN=339429, p_name='Daniel Moore', age=43}
Participant{PIN=343348, p_name='Olivia Taylor', age=45}
Participant{PIN=348761, p_name='Daniel Wilson', age=64}
Participant{PIN=354514, p_name='Chris Jones', age=51}
Participant{PIN=365065, p_name='Daniel Wilson', age=57}
Participant{PIN=367280, p_name='David Taylor', age=38}
Participant{PIN=386808, p_name='Daniel Taylor', age=24}
Participant{PIN=399379, p_name='Sophia Smith', age=58}
Participant{PIN=405487, p_name='Emily Smith', age=37}
Participant{PIN=407189, p_name='Mike Smith', age=56}
Participant{PIN=410678, p_name='Emily Moore', age=64}
Participant{PIN=416366, p_name='David Brown', age=41}
Participant{PIN=420583, p_name='Daniel Moore', age=19}
Participant{PIN=464918, p_name='Emily Taylor', age=21}
Participant{PIN=486326, p_name='Sophia Smith', age=46}
Participant{PIN=488597, p_name='Mike Davis', age=41}
Participant{PIN=499815, p_name='Chris Davis', age=57}
Participant{PIN=500901, p_name='John Williams', age=23}
Participant{PIN=506314, p_name='Daniel Moore', age=31}
Participant{PIN=511911, p_name='Emily Smith', age=39}
Participant{PIN=523749, p_name='Emma Miller', age=20}
Participant{PIN=525394, p_name='Olivia Brown', age=19}
Participant{PIN=533177, p_name='Chris Moore', age=18}
Participant{PIN=556082, p_name='Olivia Moore', age=37}
Participant{PIN=561814, p_name='Jane Davis', age=51}
Participant{PIN=569528, p_name='Emma Jones', age=46}
Participant{PIN=571009, p_name='Olivia Taylor', age=37}
Participant{PIN=581483, p_name='Emma Taylor', age=32}
Participant{PIN=583913, p_name='Sophia Smith', age=24}
Participant{PIN=621223, p_name='Jane Taylor', age=39}
Participant{PIN=624041, p_name='Olivia Taylor', age=27}
Participant{PIN=635323, p_name='Sophia Smith', age=20}
Participant{PIN=636748, p_name='Chris Miller', age=62}
Participant{PIN=637119, p_name='Daniel Davis', age=64}
Participant{PIN=648910, p_name='Daniel Taylor', age=52}
Participant{PIN=661428, p_name='Jane Brown', age=33}
Participant{PIN=684888, p_name='Mike Smith', age=26}
Participant{PIN=689062, p_name='Olivia Smith', age=58}
Participant{PIN=696403, p_name='Olivia Jones', age=52}
Participant{PIN=697726, p_name='Daniel Johnson', age=50}
Participant{PIN=704380, p_name='Jane Brown', age=55}
Participant{PIN=714520, p_name='Emma Taylor', age=37}
Participant{PIN=722335, p_name='David Johnson', age=31}
Participant{PIN=723263, p_name='John Brown', age=64}
Participant{PIN=727972, p_name='Jane Brown', age=42}
Participant{PIN=760311, p_name='Emma Moore', age=40}
Participant{PIN=777866, p_name='Daniel Taylor', age=66}
Participant{PIN=804097, p_name='David Wilson', age=40}
Participant{PIN=806324, p_name='Sophia Brown', age=39}
Participant{PIN=824681, p_name='Emily Wilson', age=30}
Participant{PIN=828342, p_name='Jane Wilson', age=18}
Participant{PIN=836379, p_name='Daniel Jones', age=45}
Participant{PIN=845722, p_name='Chris Brown', age=70}
Participant{PIN=848910, p_name='Olivia Wilson', age=34}
Participant{PIN=851717, p_name='John Wilson', age=22}
Participant{PIN=865587, p_name='Emma Moore', age=36}
Participant{PIN=884288, p_name='Daniel Davis', age=34}
Participant{PIN=899229, p_name='Emily Miller', age=35}
Participant{PIN=899814, p_name='Emma Smith', age=67}
Participant{PIN=899863, p_name='Mike Brown', age=68}
Participant{PIN=903965, p_name='Emma Smith', age=27}
Participant{PIN=914736, p_name='Chris Jones', age=38}
Participant{PIN=933675, p_name='David Williams', age=30}
Participant{PIN=934991, p_name='Daniel Taylor', age=67}
Participant{PIN=941516, p_name='Chris Davis', age=60}
Participant{PIN=950080, p_name='Olivia Wilson', age=69}
Participant{PIN=950613, p_name='Mike Williams', age=67}
Participant{PIN=956035, p_name='Sophia Miller', age=62}
Participant{PIN=956258, p_name='David Brown', age=40}
Participant{PIN=960204, p_name='Sophia Moore', age=44}
Participant{PIN=961151, p_name='John Moore', age=58}
Participant{PIN=990442, p_name='Daniel Johnson', age=43}
Participant{PIN=991173, p_name='Chris Johnson', age=29}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find PINs, names, ages, and ratings of drivers who do not own any cars ***
DriverPINNameAgeRating{PIN=110601, p_name='John Smith', age=35, rating=3.1}
DriverPINNameAgeRating{PIN=119388, p_name='John Wilson', age=50, rating=3.1}
DriverPINNameAgeRating{PIN=130883, p_name='Emily Taylor', age=27, rating=4.4}
DriverPINNameAgeRating{PIN=140798, p_name='John Wilson', age=22, rating=2.5}
DriverPINNameAgeRating{PIN=150379, p_name='Sophia Wilson', age=39, rating=2.7}
DriverPINNameAgeRating{PIN=161394, p_name='Olivia Brown', age=32, rating=1.0}
DriverPINNameAgeRating{PIN=168848, p_name='Chris Smith', age=27, rating=2.8}
DriverPINNameAgeRating{PIN=171346, p_name='David Brown', age=37, rating=2.7}
DriverPINNameAgeRating{PIN=178101, p_name='Mike Wilson', age=50, rating=2.1}
DriverPINNameAgeRating{PIN=178663, p_name='David Miller', age=68, rating=2.4}
DriverPINNameAgeRating{PIN=188245, p_name='Sophia Taylor', age=47, rating=1.1}
DriverPINNameAgeRating{PIN=188537, p_name='Daniel Williams', age=56, rating=1.4}
DriverPINNameAgeRating{PIN=205462, p_name='Chris Davis', age=47, rating=4.8}
DriverPINNameAgeRating{PIN=205706, p_name='Mike Wilson', age=36, rating=4.6}
DriverPINNameAgeRating{PIN=221771, p_name='Sophia Johnson', age=22, rating=2.9}
DriverPINNameAgeRating{PIN=226765, p_name='Emma Johnson', age=44, rating=4.4}
DriverPINNameAgeRating{PIN=240585, p_name='Daniel Smith', age=39, rating=3.7}
DriverPINNameAgeRating{PIN=247298, p_name='Emily Taylor', age=61, rating=3.6}
DriverPINNameAgeRating{PIN=251533, p_name='Emma Moore', age=53, rating=2.8}
DriverPINNameAgeRating{PIN=252825, p_name='Emily Taylor', age=41, rating=3.2}
DriverPINNameAgeRating{PIN=274658, p_name='Emma Johnson', age=49, rating=4.9}
DriverPINNameAgeRating{PIN=279641, p_name='Jane Taylor', age=24, rating=1.5}
DriverPINNameAgeRating{PIN=291590, p_name='Jane Wilson', age=47, rating=3.5}
DriverPINNameAgeRating{PIN=317532, p_name='Jane Wilson', age=29, rating=2.1}
DriverPINNameAgeRating{PIN=323323, p_name='Chris Taylor', age=24, rating=4.4}
DriverPINNameAgeRating{PIN=323475, p_name='Daniel Williams', age=53, rating=3.8}
DriverPINNameAgeRating{PIN=333843, p_name='Daniel Smith', age=30, rating=3.3}
DriverPINNameAgeRating{PIN=336231, p_name='Emily Taylor', age=23, rating=2.6}
DriverPINNameAgeRating{PIN=339429, p_name='Daniel Moore', age=43, rating=4.3}
DriverPINNameAgeRating{PIN=341013, p_name='Jane Jones', age=54, rating=2.2}
DriverPINNameAgeRating{PIN=347198, p_name='Olivia Smith', age=31, rating=1.7}
DriverPINNameAgeRating{PIN=354514, p_name='Chris Jones', age=51, rating=2.5}
DriverPINNameAgeRating{PIN=356099, p_name='David Williams', age=38, rating=2.4}
DriverPINNameAgeRating{PIN=359669, p_name='Mike Johnson', age=44, rating=4.4}
DriverPINNameAgeRating{PIN=372386, p_name='Jane Moore', age=36, rating=3.3}
DriverPINNameAgeRating{PIN=381673, p_name='Olivia Jones', age=56, rating=4.3}
DriverPINNameAgeRating{PIN=392043, p_name='David Miller', age=21, rating=1.5}
DriverPINNameAgeRating{PIN=420583, p_name='Daniel Moore', age=19, rating=1.9}
DriverPINNameAgeRating{PIN=422820, p_name='Emma Jones', age=69, rating=1.5}
DriverPINNameAgeRating{PIN=426264, p_name='Mike Williams', age=20, rating=4.9}
