PIN	p_name	age
163640	Jane Brown	43
683424	Emily Miller	57
460499	Daniel Williams	61
569528	Emma Jones	46
560569	Emily Brown	50
697726	Daniel Johnson	50
115073	Sophia Williams	32
126170	Daniel Johnson	32
807014	Daniel Smith	54
566475	Emily Jones	35
942646	Daniel Moore	66
480587	Jane Williams	61
296911	Olivia Johnson	67
251533	Emma Moore	53
488460	Jane Moore	49
184484	David Miller	69
737377	Chris Smith	50
621215	Daniel Taylor	65
418244	Jane Davis	24
432798	Emily Johnson	28
234488	Sophia Moore	51
105480	John Williams	46
288644	Sophia Brown	32
458434	Olivia Jones	70
735063	Emma Wilson	23
859018	Daniel Smith	66
939136	David Davis	39
850804	Jane Davis	24
670582	Chris Brown	48
508736	Olivia Taylor	41
138373	Sophia Johnson	43
119852	Daniel Moore	70
688390	David Taylor	70
596040	Daniel Miller	20
399379	Sophia Smith	58
524751	Olivia Wilson	26
496881	Daniel Taylor	30
333642	Emily Smith	18
396496	Mike Taylor	39
523749	Emma Miller	20
738423	Sophia Miller	64
746543	Olivia Smith	69
865332	Chris Miller	63
293970	Emma Taylor	62
588292	Emily Jones	23
450217	Emily Williams	22
321117	Emma Williams	18
325518	Chris Taylor	32
240057	Olivia Smith	18
515486	Daniel Williams	58
646074	Jane Brown	38
677148	Emma Moore	66
991173	Chris Johnson	29
703915	Jane Jones	21
736639	Olivia Taylor	22
371872	Emma Brown	39
513366	Olivia Wilson	37
671232	Emma Smith	54
934752	Sophia Williams	35
244732	John Johnson	39
440197	Chris Johnson	66
832856	Sophia Smith	30
922063	Chris Brown	41
252137	Emily Wilson	59
507753	Chris Taylor	67
974127	Olivia Brown	45
990442	Daniel Johnson	43
657186	David Smith	26
802111	David Williams	30
140798	John Wilson	22
542577	Daniel Wilson	57
528384	Daniel Wilson	33
997594	Olivia Davis	30
904986	Emily Brown	50
587380	John Williams	34
312575	Emily Brown	63
527054	John Miller	25
294348	Emily Smith	60
806324	Sophia Brown	39
162668	David Taylor	57
336231	Emily Taylor	23
157580	John Johnson	67
140330	Chris Moore	55
500282	John Brown	19
354495	Jane Moore	30
805547	John Moore	41
187417	John Johnson	34
531559	Emily Taylor	36
674267	John Miller	31
851717	John Wilson	22
256867	Daniel Miller	40
908445	Mike Williams	58
715140	Chris Miller	37
651491	Chris Moore	48
690761	Sophia Davis	35
740161	David Jones	32
573997	David Smith	27
175343	Jane Wilson	36
971204	Emily Smith	19
504636	Daniel Williams	34
506314	Daniel Moore	31
666526	Olivia Taylor	62
703766	John Johnson	35
631704	Chris Johnson	19
417416	Mike Davis	57
559850	David Jones	51
976480	Sophia Johnson	37
188771	Olivia Brown	46
261081	Emily Davis	36
482342	Olivia Wilson	30
557115	Sophia Wilson	41
447380	Daniel Jones	33
505906	Olivia Brown	33
722335	David Johnson	31
858979	Sophia Smith	50
450058	Emma Williams	69
540112	John Brown	29
314020	Emma Jones	68
643857	Sophia Wilson	22
802310	Emma Brown	40
962271	Emma Wilson	29
792637	Emma Jones	64
396618	Chris Williams	21
899863	Mike Brown	68
391478	Emma Brown	50
315261	Daniel Davis	39
839119	David Taylor	62
645061	John Smith	34
597346	Jane Wilson	50
907585	Emily Jones	62
335184	David Wilson	27
719678	Emily Wilson	19
584013	Chris Taylor	51
994779	Sophia Brown	23
282434	John Williams	69
450150	John Williams	33
317311	Emma Wilson	53
624653	Emma Smith	45
609841	Emma Miller	55
847651	Jane Taylor	42
431248	Jane Moore	51
768333	David Davis	58
388761	John Williams	21
973491	Jane Davis	56
505713	Jane Jones	56
255839	Emma Wilson	61
826447	Chris Johnson	25
975224	Emily Wilson	57
887621	Jane Taylor	58
640883	David Moore	68
930664	Chris Johnson	50
982211	Emma Wilson	44
152315	Daniel Jones	29
403340	Emma Jones	29
132231	Emily Wilson	19
828342	Jane Wilson	18
125608	John Wilson	40
240585	Daniel Smith	39
401651	Jane Smith	49
279240	Jane Davis	62
778829	Olivia Davis	50
879306	John Jones	20
895791	Daniel Taylor	69
681944	Olivia Taylor	39
638366	Emily Johnson	58
864177	David Jones	24
141545	Emily Jones	65
718777	Emma Brown	68
865616	Olivia Williams	61
172078	David Moore	36
821901	David Taylor	54
780521	Chris Taylor	32
923793	Jane Williams	66
822266	Mike Brown	56
879549	Jane Taylor	19
433274	Sophia Williams	37
191283	Daniel Johnson	67
981941	Sophia Davis	34
486470	Mike Miller	36
769016	John Wilson	64
922997	Jane Johnson	44
178101	Mike Wilson	50
926021	Sophia Moore	67
403965	Emily Davis	42
675352	Olivia Wilson	29
388267	Emily Williams	50
908508	Sophia Miller	19
245287	Olivia Wilson	30
107307	Emily Wilson	22
357141	Chris Davis	58
550501	John Moore	46
146355	Mike Smith	28
359032	Daniel Wilson	58
628584	Sophia Brown	31
287266	Sophia Moore	45
769018	John Brown	33
403278	Olivia Jones	53
867311	Emma Davis	69
775938	Daniel Brown	49
992628	David Taylor	64
973273	Olivia Williams	42
323323	Chris Taylor	24
742007	Daniel Davis	44
988687	Emily Johnson	52
311955	Emma Taylor	18
294687	David Miller	69
181885	Chris Miller	43
611356	Jane Brown	31
418362	Sophia Smith	21
164932	David Taylor	38
807476	Mike Miller	36
653505	John Johnson	27
